mot_commun,ld,nom,homonymes
CHENES, ,RUE DES CHENES (44111_0013),ALL DES CHENES (44217_0084)
COMETE, ,RUE DE LA COMETE (44111_0014),RUE DE LA COMETE (44217_0359)
EGLISE, ,PL DE L EGLISE (44111_0018),PL DE L EGLISE (44217_0328)
ETOILE, ,LOT DE LA BELLE ETOILE (44111_A007),RTE DE LA BELLE ETOILE (44217_0009)
ETOILE, ,RUE DE LA BELLE ETOILE (44111_0007),RTE DE LA BELLE ETOILE (44217_0009)
VERNE, ,RUE JULES VERNE (44111_0048),PL JULES VERNE (44217_0029)
AIR,0,BEL AIR (44111_B054),BEL AIR (44217_B058)
BELLEVUE,0,BELLEVUE (44111_B059),BELLEVUE (44217_B061)
BREIL,0,LE BREIL (44111_B128),LE BREIL (44217_B194)
CONTRIE,0,LA CONTRIE (44111_B350),LA CONTRIE (44217_B368)
GARE,0,LA GARE (44111_B489),LA GARE (44217_C312)
GENELIER,0,LA GENELIERE (44111_B497),LA GENELIERE (44217_B558)
HAIE,0,LA HAIE (44111_B553),LA HAIE (44217_B641)
LANDE,0,LA LANDE (44111_B582),LA LANDE (44217_B703)
MADELEIN,0,LA MADELEINE (44111_B615),LA MADELEINE (44217_B727)
MOULINIE,0,LA MOULINIERE (44111_B646),LA MOULINIERE (44217_B779)
PRIMAUDI,0,LA PRIMAUDIERE (44111_B884),LA PRIMAUDIERE (44217_C182)
PRISE,0,LA PRISE (44111_B893),LA PRISE (44217_C183)
TERTRE,0,LE TERTRE (44111_B955),LE TERTRE (44217_C275)
TERTREAU,0,LES TERTREAUX (44111_B956),LES TERTREAUX (44217_C278)
