mot_commun,ld,nom,homonymes
BOURG,0,LE BOURG (44033_B080),LE BOURG (44052_B057)
MAILLARD,0,LA MAILLARDAIS (44033_B915),LA MAILLARDAIS (44052_B277)
NEUVE,0,LA MAISON NEUVE (44033_B477),LA MAISON NEUVE (44052_B278)
NEUVE,0,VILLE NEUVE (44033_B906),VILLE NEUVE (44052_B473)
NOE,0,LA NOE (44033_B504),LA NOE (44052_B321)
PRAUDS,0,LES PRAUDS (44033_B578),LES PRAUDS (44052_B359)
RIVAUDAI,0,LA RIVAUDAIS (44033_B763),LA RIVAUDAIS (44052_B412)
SIMONNAI,0,LA SIMONNAIS (44033_B789),LA SIMONNAIS (44052_B436)
SOLEIL,0,BEAU SOLEIL (44033_B027),BEAU SOLEIL (44052_B025)
TERTRE,0,LE TERTRE (44033_B808),LE TERTRE (44052_B446)
VUE,0,BELLE VUE (44033_B035),BELLE VUE (44052_B030)
