mot_commun,ld,nom,homonymes
EGLISE, ,PL DE L EGLISE (44025_0090),PL DE L EGLISE (44139_0001)
MAIRIE, ,PL DE LA MAIRIE (44025_0133),RUE DE LA MAIRIE (44139_0735)
AIR,0,BEL AIR (44025_B012),BEL AIR (44139_B012)
BERNARD,0,LE CLOS BERNARD (44025_B069),LE CLOS BERNARD (44139_B073)
BOSSE,0,LA BOSSE (44025_B027),LA BOSSE (44139_B040)
ISLE,0,L ISLE (44025_B182),L ISLE (44139_B200)
ROTIS,0,LES ROTIS (44025_B297),LES ROTIS (44139_B427)
ROULAIS,0,LA ROULAIS (44025_B300),LA ROULAIS (44139_B429)
TERTRE,0,LE TERTRE (44025_B323),LE TERTRE (44139_B460)
VERGER,0,LE VERGER (44025_B338),LE VERGER (44139_B467)
