mot_commun,ld,nom,homonymes
EGLISE, ,PL DE L EGLISE (44019_0408),PL DE L EGLISE (44080_0001)
LOIRE, ,RTE DE LA LOIRE (44019_0411),RLE DE LA LOIRE (44080_0035)
AIR,0,BEL AIR (44019_B019),BEL AIR (44080_B287)
BOURG,0,LE BOURG (44019_B031),LE BOURG (44080_B020)
CHAUSSEE,0,LA CHAUSSEE (44019_B403),LA CHAUSSEE (44080_B033)
NEUVE,0,LA PIECE NEUVE (44019_B258),LA PIECE NEUVE (44080_B188)
NOE,0,LA NOE (44019_B230),LA NOE (44080_B157)
PERRON,0,LE PERRON (44019_B247),LE PERRON (44080_B176)
PLAINE,0,LA PLAINE (44019_B262),LA PLAINE (44080_B190)
