mot_commun,ld,nom,homonymes
AJONCS, ,IMP DES AJONCS (44130_0023),RUE DES AJONCS (44143_0050)
BARRES, ,RUE DES BARRES (44130_0061),CHE DES BARRES (44143_0258) + IMP DES BARRES (44143_0259)
BAUCHE, ,RUE DE LA GRANDE BAUCHE (44130_0167),RUE DE LA GRANDE BAUCHE (44143_1627) + IMP DE LA GRANDE BAUCHE (44143_1626)
BRETAGNE, ,PL DE BRETAGNE (44130_0127),AV DE BRETAGNE (44143_0480)
CHATEAU, ,RUE DU CHATEAU (44130_0118),PL DU CHATEAU (44143_0720) + RUE DU CHATEAU (44143_0721)
GARE, ,RUE DE LA GARE (44130_0153),RUE DE LA GARE (44143_1486)
INDUSTRI, ,RUE DE L INDUSTRIE (44130_0384),RUE DE L INDUSTRIE (44143_1805)
LAURIERS, ,PAS DES LAURIERS (44130_0188),ALL DES LAURIERS (44143_2150)
MARTIN, ,RTE DE PONT SAINT MARTIN (44130_0300),RTE DE PONT SAINT MARTIN (44143_3073)
MOULINS, ,RUE DES TROIS MOULINS (44130_0355),IMP DES TROIS MOULINS (44143_3603)
PATIS, ,RUE DU PATIS (44130_0386),RUE DU PATIS (44143_2835)
RETZ, ,RUE DU PAYS DE RETZ (44130_0252),PL DU PAYS DE RETZ (44143_2880)
ROCHE, ,RUE DE LA ROCHE (44130_0309),RUE DE LA ROCHE (44143_3284)
TREILLES, ,RUE DES TREILLES (44130_0378),AV DES TREILLES (44143_3570)
VIVIER, ,RUE DU VIVIER (44130_0376),RUE DU VIVIER (44143_3730)
BOURG,0,LE BOURG (44130_B078),LE BOURG (44143_B018)
ESSART,0,L ESSART (44130_B165),L ESSART (44143_B047)
GARE,0,LA GARE (44130_B208),LA GARE (44143_B056)
