mot_commun,ld,nom,homonymes
FORCIN, ,RTE DU FORCIN (44155_0157),RTE DU FORCIN (44156_0119)
LANDES, ,CHE DES LANDES (44155_0460),RUE DES LANDES (44156_0149)
MOULIN, ,RUE DU MOULIN (44155_0586),CHE DU MOULIN (44156_0166)
NANTES, ,RTE DE NANTES (44155_0595),RTE DE NANTES (44156_0170)
BOURG,0,LE BOURG (44155_B122),LE BOURG (44156_B264)
BREIL,0,LE BREIL (44155_B130),LE BREIL (44156_B345)
BRULOT,0,LE BRULOT (44155_B146),LE BRULOT (44156_B476)
ESSARTS,0,LES ESSARTS (44155_B300),LES ESSARTS (44156_C108)
FIEF,0,LE PETIT FIEF (44155_B898),LE PETIT FIEF (44156_D978)
GAGNERIE,0,LA GAGNERIE (44155_B380),LA GAGNERIE (44156_C249)
GITE,0,LE GITE (44155_B407),LE GITE (44156_C501)
LANDES,0,LES LANDES (44155_B699),LES LANDES (44156_D245)
LANDES,0,LES LANDES (44155_B701),LES LANDES (44156_D245)
NOIRES,0,LES TERRES NOIRES (44155_C651),LES TERRES NOIRES (44156_E696)
PLESSIS,0,LE PLESSIS (44155_C341),LE PLESSIS (44156_E258)
PRES,0,PIECE DES PRES (44155_C196),PIECE DES PRES (44156_E153)
VERGNES,0,LES VERGNES (44155_C697),LES VERGNES (44156_F155)
