mot_commun,ld,nom,homonymes
AIGREFEU, ,RUE D AIGREFEUILLE (44127_0096),RUE D AIGREFEUILLE (44216_0010)
CALVAIRE, ,RUE DU CALVAIRE (44127_0004),RUE DU CALVAIRE (44216_0080)
CAMELIAS, ,AV DES CAMELIAS (44127_0005),ALL DES CAMELIAS (44216_0100)
FAUVETTE, ,RUE DES FAUVETTES (44127_0009),ALL DES FAUVETTES (44216_0155)
GARE, ,RUE DE LA GARE (44127_0011),ALL DE LA GARE (44216_0180)
INDUSTRI, ,RUE DE L INDUSTRIE (44127_0250),BD DE L INDUSTRIE (44216_0230)
MAIRIE, ,PL DE LA MAIRIE (44127_0101),PL DE LA MAIRIE (44216_0240)
MESANGES, ,RUE DES MESANGES (44127_0018),ALL DES MESANGES (44216_0264)
MIMOSAS, ,RUE DES MIMOSAS (44127_0019),ALL DES MIMOSAS (44216_0265)
NANTES, ,RUE DE NANTES (44127_0025),AV DE NANTES (44216_0340)
TISSERAN, ,RUE DES TISSERANDS (44127_0080),RUE DES TISSERANDS (44216_0493)
VERNE, ,RUE JULES VERNE (44127_0016),AV JULES VERNE (44216_0233)
VIGNES, ,RUE DES VIGNES (44127_1401),IMP DES VIGNES (44216_0562)
AIR,0,BEL AIR (44127_B057),BEL AIR (44216_B014)
AUDONNIE,0,LA PETITE AUDONNIERE (44127_B770),LA PETITE AUDONNIERE (44216_B241)
BARRE,0,LA BARRE (44127_B005),LA BARRE (44216_B243)
BOURG,0,LE BOURG (44127_B068),LE BOURG (44216_B031)
CHAMP,0,LE GRAND CHAMP (44127_B349),LE GRAND CHAMP (44216_B105)
DAME,0,NOTRE DAME (44127_B630),VEN NOTRE DAME (44216_0367)
JOLY,0,LE BOIS JOLY (44127_B062),LE BOIS JOLY (44216_B023)
SOLEIL,0,BEAU SOLEIL (44127_B056),RUE BEAU SOLEIL (44216_0040) + BEAU SOLEIL (44216_B013)
