mot_commun,ld,nom,homonymes
CHENES, ,CHE DES CHENES (44076_0571),RUE DES CHENES (44113_0626)
EGLISE, ,PL DE L EGLISE (44076_0461),PL DE L EGLISE (44113_0740) + RUE DE L EGLISE (44113_0720)
ETANG, ,CHE DE L ETANG (44076_0260),RTE DE L ETANG (44113_0916) + CHE DE L ETANG (44113_0800)
MORTIER, ,CHE DU MORTIER (44076_0380),CHE DU MORTIER (44113_1540)
MOULIN, ,RTE DU MOULIN (44076_0570),RUE DU MOULIN (44113_1560)
VIOLETTE, ,ALL DES VIOLETTES (44076_0568),CHE DES VIOLETTES (44113_2570)
AIR,0,BEL AIR (44076_B026),BEL AIR (44113_B031)
BOURG,0,LE BOURG (44076_B064),LE BOURG (44113_B119)
BUTTE,0,LA BUTTE (44076_C140),LA BUTTE (44113_B128)
CHESNAIE,0,LA CHESNAIE (44076_B153),LA CHESNAIE (44113_B142)
RIVIERES,0,LES RIVIERES (44076_B941),LES RIVIERES (44113_B763)
TERTRE,0,LE TERTRE (44076_C027),LE TERTRE (44113_B830)
VERSAILL,0,LE PETIT VERSAILLES (44076_B553),LE PETIT VERSAILLES (44113_B476)
VILLE,0,LA VILLE VILLE (44076_C020),LA VILLE VILLE (44113_B884)
