mot_commun,ld,nom,homonymes
ANJOU, ,RUE D ANJOU (44140_0020),RUE D ANJOU (44212_0100)
BRETAGNE, ,RUE DE BRETAGNE (44140_0040),RUE DE BRETAGNE (44212_0216)
CORMIER, ,IMP DU CORMIER (44140_0130),VC DU CORMIER (44212_0382)
MEUNIERS, ,RUE DES MEUNIERS (44140_0071),CHE DES MEUNIERS (44212_0715)
BRAUDIER,0,LA BRAUDIERE (44140_B043),LA BRAUDIERE (44212_B082)
COQUETIE,0,LA COQUETIERE (44140_B080),LA COQUETIERE (44212_B197)
GRAVOIRE,0,LA GRAVOIRE (44140_B536),LA GRAVOIRE (44212_B328)
JARDIN,0,LE GRAND JARDIN (44140_B127),LE GRAND JARDIN (44212_B288)
LONG,0,LE PRE LONG (44140_B433),LE PRE LONG (44212_B673)
MASURE,0,LA GRANDE MASURE (44140_B139),LA GRANDE MASURE (44212_B839)
NEUVE,0,LA MAISON NEUVE (44140_B702),LA MAISON NEUVE (44212_B399)
PATIS,0,LE PATIS (44140_B262),LE PATIS (44212_B486)
VIGNES,0,LES VIGNES (44140_B475),LES VIGNES (44212_B765)
