mot_commun,ld,nom,homonymes
ANNE, ,RUE SAINTE ANNE (44093_0012),SAINTE ANNE (44180_B834)
EGLISE, ,IMP DE L EGLISE (44093_0005),PL DE L EGLISE (44180_0360)
HETRES, ,RUE DES HETRES (44093_0014),RUE DES HETRES (44180_0442)
LAVOIR, ,RUE DU LAVOIR (44093_0019),RUE DU LAVOIR (44180_0480)
SOLEIL, ,IMP BEAU SOLEIL (44093_0015),BEAU SOLEIL (44180_B033)
ANNE,0,SAINTE ANNE (44093_C319),SAINTE ANNE (44180_B834)
BOURG,0,LE BOURG (44093_B077),LE BOURG (44180_B059)
GARENNE,0,LA GARENNE (44093_B465),LA GARENNE (44180_B297)
GREE,0,LA GREE (44093_B558),LA GREE (44180_B361)
LANDE,0,LA LANDE (44093_B677),LA LANDE (44180_B416)
LANDES,0,LES LANDES (44093_B697),LES LANDES (44180_B426)
LANDREAU,0,LE LANDREAU (44093_B699),LE LANDREAU (44180_B427)
NOUE,0,LA NOUE (44093_B761),LA NOUE (44180_B460)
ROCHE,0,LA ROCHE (44093_C376),LA ROCHE (44180_B815)
TAILLAND,0,LA TAILLANDERIE (44093_C333),LA TAILLANDERIE (44180_B841)
VUE,0,BELLE VUE (44093_B035),BELLE VUE (44180_B041)
