mot_commun,ld,nom,homonymes
CHATEAU, ,BD DU CHATEAU (44087_0620),RUE DU CHATEAU (44178_0053)
EGLISE, ,PL DE L EGLISE (44087_0720),PL DE L EGLISE (44178_0059)
PLATANES, ,AV DES PLATANES (44087_1303),RUE DES PLATANES (44178_0125)
ABREUVOI,0,L ABREUVOIR (44087_B004),L ABREUVOIR (44178_B002)
AIR,0,BEL AIR (44087_B087),BEL AIR (44178_B028)
ANGLE,0,L ANGLE (44087_B014),L ANGLE (44178_B005)
ANNE,0,SAINTE ANNE (44087_D341),SAINTE ANNE (44178_B977)
BOIS,0,LE PETIT BOIS (44087_C547),LE PETIT BOIS (44178_B588)
CROIX,0,LA CROIX (44087_B505),LA CROIX (44178_B177)
ECOBUTS,0,LES ECOBUTS (44087_B576),LES ECOBUTS (44178_B190)
ESPERANC,0,L ESPERANCE (44087_B587),L ESPERANCE (44178_B200)
FILEE,0,LA FILEE (44087_B662),LA FILEE (44178_B211)
GRAS,0,LES PRES GRAS (44087_D211),LES PRES GRAS (44178_B935)
JOLI,0,LE BOIS JOLI (44087_B137),LE BOIS JOLI (44178_C103)
MARIE,0,SAINTE MARIE (44087_D344),SAINTE MARIE (44178_B979)
MARZELLE,0,LA MARZELLE (44087_C199),LA MARZELLE (44178_B440)
NEUVE,0,LA MAISON NEUVE (44087_C145),LA MAISON NEUVE (44178_B409)
PARC,0,LE PARC (44087_C483),LE PARC (44178_B548)
POMMERAI,0,LA POMMERAIE (44087_C860),LA POMMERAIE (44178_B772)
PREE,0,LA PREE (44087_D200),LA PREE (44178_B926)
RENNERIE,0,LA RENNERIE (44087_D687),LA RENNERIE (44178_B946)
ROCHETTE,0,LES ROCHETTES (44087_D316),LES ROCHETTES (44178_B967)
VIGNE,0,L OUCHE DE LA VIGNE (44087_C379),L OUCHE DE LA VIGNE (44178_B505)
