mot_commun,ld,nom,homonymes
ARC, ,RUE JEANNE D ARC (44012_0800),RUE JEANNE D ARC (44131_2000)
BAIE, ,RES DE LA BAIE (44012_A095),ALL DE LA BAIE (44131_0071) + IMP DE LA BAIE (44131_0070)
BAIE, ,RUE DE LA BAIE (44012_0140),ALL DE LA BAIE (44131_0071) + IMP DE LA BAIE (44131_0070)
BART, ,IMP JEAN BART (44012_0779),RUE JEAN BART (44131_1905)
BART, ,LOT JEAN BART (44012_A055),RUE JEAN BART (44131_1905)
BELLEVUE, ,AV BELLEVUE (44012_0160),BELLEVUE (44131_B053)
BELLEVUE, ,PL BELLEVUE (44012_0161),BELLEVUE (44131_B053)
BOUTINAR, ,RUE DE LA BOUTINARDIERE (44012_0254),RUE DE LA BOUTINARDIERE (44131_0621)
BREL, ,RUE JACQUES BREL (44012_0258),RUE JACQUES BREL (44131_1813)
BRUYERES, ,AV DES BRUYERES (44012_0262),RUE DES BRUYERES (44131_0650)
BUISSONN, ,CHE DES BUISSONNETS (44012_0263),RUE DES BUISSONNETS (44131_0660)
BUISSONN, ,RUE DES BUISSONNETS (44012_0264),RUE DES BUISSONNETS (44131_0660)
CADOU, ,RUE RENE GUY CADOU (44012_1520),RUE RENE GUY CADOU (44131_4035)
CALVAIRE, ,RUE DU CALVAIRE (44012_0275),RUE DU CALVAIRE (44131_0680) + PL DU CALVAIRE (44131_0720) + ESC DU CALVAIRE (44131_0700)
CLEMENCE, ,RUE GEORGES CLEMENCEAU (44012_0640),RUE GEORGES CLEMENCEAU (44131_1580)
CLION, ,RTE DU CLION (44012_0373),ZI DU CLION (44131_A196)
CORDERIE, ,RUE DE LA CORDERIE (44012_0380),RUE DE LA CORDERIE (44131_0939) + CHE DE LA CORDERIE (44131_0940)
ECUREUIL, ,CHE DES ECUREUILS (44012_0555),AV DES ECUREUILS (44131_1267)
ECUREUIL, ,IMP DES ECUREUILS (44012_0556),AV DES ECUREUILS (44131_1267)
EGLANTIE, ,AV DES EGLANTIERS (44012_0567),ALL DES EGLANTIERS (44131_1276)
FALAISE, ,IMP DE LA FALAISE (44012_0580),IMP DE LA FALAISE (44131_1325)
FONTAINE, ,IMP LA FONTAINE (44012_0588),LA FONTAINE (44131_B494)
GARE, ,PAS DE LA GARE (44012_0600),PL DE LA GARE (44131_1500)
HORTENSI, ,AV DES HORTENSIAS (44012_0770),RUE DES HORTENSIAS (44131_1806)
MER, ,RUE DE LA MER (44012_0920),AV DE LA MER (44131_2760)
MIMOSAS, ,AV DES MIMOSAS (44012_0950),RUE DES MIMOSAS (44131_2820)
MOUETTES, ,AV DES MOUETTES (44012_0955),RUE DES MOUETTES (44131_2960)
MOULIN, ,ALL DU MOULIN (44012_0956),DU MOULIN (44131_B878) + RUE DU MOULIN (44131_3000)
MOULIN, ,LOT DU MOULIN (44012_A071),DU MOULIN (44131_B878) + RUE DU MOULIN (44131_3000)
NANTES, ,RUE DE NANTES (44012_1060),RUE DE NANTES (44131_3100)
NEUF, ,IMP DU MOULIN NEUF (44012_0958),RUE DU MOULIN NEUF (44131_3010)
NEUF, ,RTE DU MOULIN NEUF (44012_0957),RUE DU MOULIN NEUF (44131_3010)
NEUF, ,ZA DU MOULIN NEUF (44012_A072),RUE DU MOULIN NEUF (44131_3010)
OCEAN, ,ALL DES PRES DE L'OCEAN (44012_1426),ALL DES PRES DE L'OCEAN (44131_3901)
OCEAN, ,RUE DE L OCEAN (44012_1180),RUE DE L OCEAN (44131_3300)
PANORAMA, ,AV DU PANORAMA (44012_1220),AV DU PANORAMA (44131_3390)
PEUPLIER, ,IMP DES PEUPLIERS (44012_1305),RUE DES PEUPLIERS (44131_3528)
PINS, ,AV DES PINS (44012_1315),AV DES PINS (44131_3560) + IMP DES PINS (44131_3562)
PLATANES, ,AV DES PLATANES (44012_1340),RUE DES PLATANES (44131_3650)
PORNIC, ,RUE DE PORNIC (44012_1360),RTE DE PORNIC (44131_3740)
BLINIERE,0,LA BLINIERE (44012_B014),LA BLINIERE (44131_B086)
BOUTINAR,0,LA BOUTINARDIERE (44012_B018),LA BOUTINARDIERE (44131_B129)
NEUF,0,LE MOULIN NEUF (44012_B145),LE MOULIN NEUF (44131_C959) + RES LE MOULIN NEUF (44131_A099)
NOE,0,LA NOE (44012_B147),LA NOE (44131_B892)
RINAIS,0,LA RINAIS (44012_B217),LA RINAIS (44131_C970)
ROGERE,0,LA ROGERE (44012_B221),LA ROGERE (44131_D257)
TARIN,0,LE PRE TARIN (44012_B210),LE PRE TARIN (44131_C576)
