mot_commun,ld,nom,homonymes
ACACIAS, ,RUE DES ACACIAS (44021_0010),AV DES ACACIAS (44186_0010)
EGLISE, ,PL DE L EGLISE (44021_0140),RUE DE L EGLISE (44186_0180)
ETANG, ,CHE DE L ETANG (44021_0166),IMP DE L ETANG (44186_0188)
GARE, ,AV DE LA GARE (44021_0200),RUE DE LA GARE (44186_0197)
GARE, ,IMP DE LA GARE (44021_0201),RUE DE LA GARE (44186_0197)
GARE, ,PL DE LA GARE (44021_0202),RUE DE LA GARE (44186_0197)
HIRONDEL, ,IMP DES HIRONDELLES (44021_0229),RUE DES HIRONDELLES (44186_0210)
MACHECOU, ,RTE DE MACHECOUL (44021_0240),RTE DE MACHECOUL (44186_0280)
MACHECOU, ,RUE DE MACHECOUL (44021_0241),RTE DE MACHECOUL (44186_0280)
NANTES, ,RTE DE NANTES (44021_0327),RTE DE NANTES (44186_0340)
RETZ, ,RUE DE RETZ (44021_0428),PL DE RETZ (44186_0465)
ROSEAUX, ,IMP DES ROSEAUX (44021_0439),IMP DES ROSEAUX (44186_0478)
SOLEIL, ,RUE BEAU SOLEIL (44021_0060),BEAU SOLEIL (44186_B066) + AV BEAU SOLEIL (44186_0070)
SPORTS, ,RUE DES SPORTS (44021_0475),AV DES SPORTS (44186_0490)
GARE,0,LA GARE (44021_B654),LA GARE (44186_B458)
JOURNAUX,0,LES DIX JOURNAUX (44021_B566),LES DIX JOURNAUX (44186_B379)
LONG,0,LE PRE LONG (44021_C917),LE PRE LONG (44186_C555)
MARAIS,0,LE GRAND MARAIS (44021_B730),LE GRAND MARAIS (44186_B510)
OUCHE,0,L OUCHE (44021_C269),L OUCHE (44186_B891)
POUZINIE,0,LA POUZINIERE (44021_C708),LA POUZINIERE (44186_C366)
PREAUTE,0,LA PREAUTE (44021_C990),LA PREAUTE (44186_C582)
PRES,0,LES PRES (44021_C981),LES PRES (44186_C583)
SOLEIL,0,BEAU SOLEIL (44021_B063),BEAU SOLEIL (44186_B066) + AV BEAU SOLEIL (44186_0070)
TOUCHE,0,LA GRANDE TOUCHE (44021_B792),LA GRANDE TOUCHE (44186_B558)
VERT,0,LE CHENE VERT (44021_B335),LE CHENE VERT (44186_B232)
