mot_commun,ld,nom,homonymes
EGLISE, ,PL DE L EGLISE (44090_0001),RUE DE L EGLISE (44157_0045)
MOULIN, ,RUE DU MOULIN (44090_0004),IMP DU MOULIN (44157_0057)
NANTES, ,RUE DE NANTES (44090_0005),RUE DE NANTES (44157_0058)
PEUPLIER, ,RUE DES PEUPLIERS (44090_0026),RUE DES PEUPLIERS (44157_0059)
AIR,0,BEL AIR (44090_B029),RUE BEL AIR (44157_0021) + BEL AIR (44157_B036)
BREUIL,0,LE BREUIL (44090_B056),LE BREUIL (44157_B085)
BROSSE,0,LA BROSSE (44090_B063),LA BROSSE (44157_B101)
LANDES,0,LES LANDES (44090_B326),LES LANDES (44157_B522)
LANDES,0,PIECE DES LANDES (44090_B562),PIECE DES LANDES (44157_B847)
VIGNES,0,LES GRANDES VIGNES (44090_B264),LES GRANDES VIGNES (44157_B437)
