mot_commun,ld,nom,homonymes
ANJOU, ,RUE D ANJOU (44004_0007),RUE D ANJOU (44213_0022)
BLEUETS, ,RUE DES BLEUETS (44004_0044),SQ DES BLEUETS (44213_0230)
EGLANTIE, ,IMP DES EGLANTIERS (44004_0070),RUE DES EGLANTIERS (44213_0036)
FFI, ,RUE DU PREMIER BATAILLON FFI (44004_0068),RUE DU PREMIER BATAILLON FFI (44213_0143)
FONTAINE, ,IMP DE LA FONTAINE (44004_0027),DE LA FONTAINE (44213_B642)
GARE, ,RUE DE LA GARE (44004_0028),RUE DE LA GARE (44213_0060)
GENETS, ,IMP DES GENETS (44004_0066),RUE DES GENETS (44213_0072)
MESANGES, ,IMP DES MESANGES (44004_0076),SQ DES MESANGES (44213_0099)
NANTES, ,RUE DE NANTES (44004_0038),RTE DE NANTES (44213_0120)
ORMEAUX, ,IMP DES ORMEAUX (44004_0067),RUE DES ORMEAUX (44213_0125)
PINSONS, ,RUE DES PINSONS (44004_0039),SQ DES PINSONS (44213_0137)
BARBINIE,0,LA BARBINIERE (44004_B004),LA BARBINIERE (44213_B020)
CHAUSSEE,0,LA CHAUSSEE (44004_B145),LA CHAUSSEE (44213_B445)
FONTAINE,0,LA FONTAINE (44004_B262),LA FONTAINE (44213_B643)
FOUCHERI,0,LA FOUCHERIE (44004_B263),LA FOUCHERIE (44213_B651)
GARE,0,LA GARE (44004_B284),LA GARE (44213_B664)
METAIRIE,0,LA METAIRIE (44004_B378),LA METAIRIE (44213_B956)
PAVILLON,0,LE PAVILLON (44004_B442),LE PAVILLON (44213_C101)
VARENNES,0,LES VARENNES (44004_B577),LES VARENNES (44213_C595)
