mot_commun,ld,nom,homonymes
ERABLES, ,ALL DES ERABLES (44013_0073),RUE DES ERABLES (44052_0265)
ERABLES, ,RUE DES ERABLES (44013_0074),RUE DES ERABLES (44052_0265)
GARE, ,AV DE LA GARE (44013_0080),PL DE LA GARE (44052_0320) + AV DE LA GARE (44052_0300)
IRIS, ,ALL DES IRIS (44013_0089),RUE DES IRIS (44052_0411)
MAIRIE, ,RUE DE LA MAIRIE (44013_0097),PL DE LA MAIRIE (44052_0480)
SAULES, ,ALL DES SAULES (44013_0190),RUE DES SAULES (44052_0645)
SORBIERS, ,RUE DES SORBIERS (44013_0192),RUE DES SORBIERS (44052_0685)
STADE, ,CHE DU STADE (44013_0194),RUE DU STADE (44052_0710)
ARDIVAIS,0,L ARDIVAIS (44013_B013),L ARDIVAIS (44052_B006)
BOSSE,0,LA BOSSE (44013_B050),LA BOSSE (44052_B051)
BOURG,0,LE BOURG (44013_B055),LE BOURG (44052_B057)
LANDES,0,LES BASSES LANDES (44013_B025),LES BASSES LANDES (44052_B023)
MORNAIS,0,LA MORNAIS (44013_B327),LA MORNAIS (44052_B316)
PERRON,0,LE PERRON (44013_B374),LE PERRON (44052_B334)
PIERRE,0,LA PIERRE (44013_B391),LA PIERRE (44052_B349)
SAVINAIS,0,LA SAVINAIS (44013_B527),LA SAVINAIS (44052_B431)
