mot_commun,ld,nom,homonymes
ECOLES, ,RUE DES ECOLES (44002_0030),RUE DES ECOLES (44037_0161)
EGLISE, ,PL DE L EGLISE (44002_0032),PL DE L EGLISE (44037_0112)
MAINE, ,AV DE LA MAINE (44002_0037),AV DE LA MAINE (44037_0176)
BELLEVUE,0,BELLEVUE (44002_B068),BELLEVUE (44037_B046)
BOURG,0,LE BOURG (44002_B087),LE BOURG (44037_B074)
CHATAIGN,0,LA CHATAIGNERAIE (44002_B129),LA CHATAIGNERAIE (44037_B132)
LANDES,0,LES LANDES (44002_B388),LES LANDES (44037_B351)
MOULIN,0,LE GRAND MOULIN (44002_B268),LE GRAND MOULIN (44037_B257)
NEUVE,0,LA MAISON NEUVE (44002_B399),LA MAISON NEUVE (44037_B367)
POTERIE,0,LA BASSE POTERIE (44002_B027),LA BASSE POTERIE (44037_B023)
POTERIE,0,LA HAUTE POTERIE (44002_B329),LA HAUTE POTERIE (44037_B319)
ROUGE,0,LA CROIX ROUGE (44002_B185),LA CROIX ROUGE (44037_B182)
SENSIVE,0,LA SENSIVE (44002_B704),LA SENSIVE (44037_B805)
