mot_commun,ld,nom,homonymes
BIGNON, ,RUE DU BIGNON (44198_0065),RTE DU BIGNON (44215_0219)
BOCAGE, ,RUE DU BOCAGE (44198_0070),IMP DU BOCAGE (44215_0255)
CAMELIAS, ,RUE DES CAMELIAS (44198_0095),RUE DES CAMELIAS (44215_0397)
CLOS, ,RUE DU GRAND CLOS (44198_0205),RUIS DU GRAND CLOS (44215_X015)
COUBERTI, ,RUE PIERRE DE COUBERTIN (44198_0298),ALL PIERRE DE COUBERTIN (44215_1414)
COURTILS, ,RUE DES COURTILS (44198_0162),ALL DES COURTILS (44215_0576)
ECOLES, ,RUE DES ECOLES (44198_0170),RUE DES ECOLES (44215_0640)
FONTAINE, ,RUE DE LA FONTAINE (44198_0191),RUE DE LA FONTAINE (44215_0679)
FORGE, ,IMP DE LA FORGE (44198_0193),RUE DE LA FORGE (44215_0688)
FOUGERES, ,RUE DES FOUGERES (44198_0189),ALL DES FOUGERES (44215_1950)
GENETS, ,RUE DES GENETS (44198_0196),AV DES GENETS (44215_0800)
HORTENSI, ,RUE DES HORTENSIAS (44198_0222),RUE DES HORTENSIAS (44215_1021)
ILETTE, ,RUE DE L ILETTE (44198_0225),RUIS DE L ILETTE (44215_X021)
LANDES, ,CHE DES LANDES (44198_0234),RUE DES LANDES (44215_1070)
MAISON, ,RUE DE LA GRAND MAISON (44198_0206),RUE DE LA GRAND MAISON (44215_0867)
MARAICHE, ,RUE DES MARAICHERS (44198_0237),AV DES MARAICHERS (44215_1130)
MESANGES, ,RUE DES MESANGES (44198_0247),RUE DES MESANGES (44215_1148)
MOUETTES, ,RUE DES MOUETTES (44198_0250),IMP DES MOUETTES (44215_1216)
MOULIN, ,RUE DU MOULIN (44198_0255),RUE DU MOULIN (44215_1220)
NANTES, ,RUE DE NANTES (44198_0259),RTE DE NANTES (44215_1250)
ORCERIE, ,CHEM DE L'ORCERIE (44198_0271),RUE DE L'ORCERIE (44215_1311)
ORCERIE, ,RTE DE L'ORCERIE (44198_0270),RUE DE L'ORCERIE (44215_1311)
PERCEE, ,RUE DE LA PIERRE PERCEE (44198_0295),RUE DE LA PIERRE PERCEE (44215_1409)
PERRIERE, ,IMP DES PERRIERES (44198_0294),RUE DES PERRIERES (44215_1401)
PEUPLIER, ,RUE DES PEUPLIERS (44198_0290),RUE DES PEUPLIERS (44215_1406)
POSTE, ,RUE DE LA POSTE (44198_0305),RUE DE LA POSTE (44215_1505) + PLA DE LA POSTE (44215_1499)
PRAIRIES, ,RUE DES PRAIRIES (44198_0850),IMP DES PRAIRIES (44215_1504)
PUITS, ,IMP DU PUITS (44198_0740),RUE DU PUITS (44215_1527)
ROSEAUX, ,RUE DES ROSEAUX (44198_0890),RUE DES ROSEAUX (44215_1578)
SAULES, ,AV DES SAULES (44198_0348),RUE DES SAULES (44215_1621)
SPORTS, ,RUE DES SPORTS (44198_0390),BD DES SPORTS (44215_1660)
TILLEULS, ,RUE DES TILLEULS (44198_0397),RUE DES TILLEULS (44215_1680)
VENDEE, ,RUE DE VENDEE (44198_1000),BD DE VENDEE (44215_1723)
VIOLETTE, ,IMP DES VIOLETTES (44198_0455),RUE DES VIOLETTES (44215_1796)
ACQUET,0,BON ACQUET (44198_B060),BON ACQUET (44215_B049)
AIR,0,BEL AIR (44198_B044),BEL AIR (44215_B027)
BELLEVUE,0,BELLEVUE (44198_B046),IMP BELLEVUE (44215_0205) + BELLEVUE (44215_B028)
FORET,0,LA FORET (44198_B171),LA FORET (44215_B136)
HERYS,0,LES HERYS (44198_B248),LES HERYS (44215_B206)
MOULIN,0,LE CLOS DU MOULIN (44198_B121),LE CLOS DU MOULIN (44215_B099)
ORCERIE,0,L ORCERIE (44198_B307),L ORCERIE (44215_B263)
