mot_commun,ld,nom,homonymes
AIRELLES, ,ALL DES AIRELLES (44158_0017),IMP DES AIRELLES (44217_0365)
BEAUREGA, ,CHE BEAUREGARD (44158_0145),BEAUREGARD (44217_C316)
BELLEVUE, ,CHE DE BELLEVUE (44158_0160),IMP DE BELLEVUE (44217_0019)
CHATAIGN, ,ALL DES CHATAIGNIERS (44158_0281),IMP DES CHATAIGNIERS (44217_0076) + ALL DES CHATAIGNIERS (44217_0075)
CHATEAU, ,AV DU CHATEAU (44158_0294),IMP DU CHATEAU (44217_0089) + RUE DU CHATEAU (44217_0083)
CHATEAU, ,RUE DU CHATEAU (44158_0295),IMP DU CHATEAU (44217_0089) + RUE DU CHATEAU (44217_0083)
EGLISE, ,PL DE L EGLISE (44158_0440),PL DE L EGLISE (44217_0328)
FONTAINE, ,IMP LA FONTAINE (44158_0470),LA FONTAINE (44217_B498)
GARENNE, ,CHE DE LA GARENNE (44158_0545),RUE DE LA GARENNE (44217_0338)
GARENNE, ,LOT DE LA GARENNE (44158_A026),RUE DE LA GARENNE (44217_0338)
GRANGES, ,RUE DES GRANGES (44158_0636),IMP DES GRANGES (44217_0358)
HORTENSI, ,RUE DES HORTENSIAS (44158_0748),IMP DES HORTENSIAS (44217_0356)
LILAS, ,CHE DES LILAS (44158_0925),RUE DES LILAS (44217_0175)
MOULINET, ,CITE LE MOULINET (44158_A033),LE MOULINET (44217_B778)
NEUF, ,RUE DU MOULIN NEUF (44158_1160),RUE DU MOULIN NEUF (44217_0193) + IMP DU MOULIN NEUF (44217_0194)
NEUVE, ,CHE DE LA MAISON NEUVE (44158_1000),RTE DE LA MAISON NEUVE (44217_0198)
NOISETIE, ,ALL DES NOISETIERS (44158_1261),ALL DES NOISETIERS (44217_0192)
PRESSOIR, ,RUE DU PRESSOIR (44158_0244),RUE DU PRESSOIR (44217_0248)
PRIMEVER, ,RUE DES PRIMEVERES (44158_1332),RUE DES PRIMEVERES (44217_0243)
SILLON, ,RUE DU SILLON (44158_1480),RUE DU SILLON (44217_0357)
SPORTS, ,AV DES SPORTS (44158_1520),ALL DES SPORTS (44217_0320)
TEMPLE, ,RTE DU TEMPLE (44158_1560),RTE DU TEMPLE (44217_0327)
TEMPLE, ,RUE DU TEMPLE (44158_1540),RTE DU TEMPLE (44217_0327)
VERNE, ,RUE JULES VERNE (44158_0800),PL JULES VERNE (44217_0029)
AIR,0,BEL AIR (44158_B062),BEL AIR (44217_B058)
ANNE,0,SAINTE ANNE (44158_C194),RUE SAINTE ANNE (44217_0332) + SAINTE ANNE (44217_C245)
BEAUREGA,0,BEAUREGARD (44158_B060),BEAUREGARD (44217_C316)
BELLEVUE,0,BELLEVUE (44158_B063),BELLEVUE (44217_B061)
BERNARDI,0,LA BERNARDIERE (44158_B065),LA BERNARDIERE (44217_B064)
BOIS,0,LE BOIS (44158_B080),LE BOIS (44217_B080)
BRETONNI,0,LA BRETONNIERE (44158_B147),LA BRETONNIERE (44217_B195)
BRETONNI,0,LA PETITE BRETONNIERE (44158_B877),LA PETITE BRETONNIERE (44217_B885)
CARREFOU,0,LE CARREFOUR (44158_B173),LE CARREFOUR (44217_B224)
CHATEAU,0,LE CHATEAU (44158_B223),LE CHATEAU (44217_B265)
CLOSETTE,0,LA CLOSETTE (44158_B303),LA CLOSETTE (44217_B355)
COEFFAUD,0,LA COEFFAUDIERE (44158_B310),LA COEFFAUDIERE (44217_B359)
FONTAINE,0,LA FONTAINE (44158_B445),LA FONTAINE (44217_B498)
FONTENEL,0,LES FONTENELLES (44158_B450),LES FONTENELLES (44217_B503)
GARE,0,LA GARE (44158_B486),LA GARE (44217_C312)
GARENNE,0,LA GARENNE (44158_B487),LA GARENNE (44217_B548)
HAIE,0,LA HAIE (44158_B577),LA HAIE (44217_B641)
IDEE,0,MON IDEE (44158_B612),MON IDEE (44217_C311)
MOTTE,0,LA MOTTE (44158_B774),LA MOTTE (44217_B769)
NATIONS,0,LES QUATRE NATIONS (44158_C153),LES QUATRE NATIONS (44217_C191)
NEUF,0,LE MOULIN NEUF (44158_B781),LE MOULIN NEUF (44217_B777)
NEUVE,0,LA MAISON NEUVE (44158_B716),LA MAISON NEUVE (44217_B729)
NEUVE,0,LA PIECE NEUVE (44158_B998),LA PIECE NEUVE (44217_B970)
OUCHES,0,LES OUCHES (44158_B565),LES OUCHES (44217_B804)
PERRIERE,0,LES PERRIERES (44158_B855),LES PERRIERES (44217_B868)
PIECE,0,LA PIECE (44158_B907),LA PIECE (44217_B909)
PRE,0,LE GRAND PRE (44158_B524),LE GRAND PRE (44217_B587)
PRUCHE,0,LA PRUCHE (44158_C151),LA PRUCHE (44217_C186)
RIVIERE,0,LA RIVIERE (44158_C169),LA RIVIERE (44217_C218)
ROCHE,0,LA ROCHE (44158_C173),LA ROCHE (44217_C220)
TILLON,0,LE TILLON (44158_C239),LE TILLON (44217_C282)
