mot_commun,ld,nom,homonymes
ACACIAS, ,AV DES ACACIAS (44109_0028),AV DES ACACIAS (44162_0020)
ADENAUER, ,RUE KONRAD ADENAUER (44109_4717),RUE KONRAD ADENAUER (44162_1459)
AGATES, ,IMP DES AGATES (44109_0049),ALL DES AGATES (44162_0026)
AJONCS, ,AV DES AJONCS (44109_0066),RUE DES AJONCS (44162_0028)
ALISIERS, ,RUE DES ALISIERS (44109_0153),IMP DES ALISIERS (44162_0054)
ALLENDE, ,BD SALVADOR ALLENDE (44109_7803),BD SALVADOR ALLENDE (44162_2463)
AMANDIER, ,AV DES AMANDIERS (44109_0222),IMP DES AMANDIERS (44162_0086)
AMETHYST, ,AV DES AMETHYSTES (44109_0219),IMP DES AMETHYSTES (44162_0062)
ANCOLIES, ,RUE DES ANCOLIES (44109_0265),RUE DES ANCOLIES (44162_0069)
ARMOR, ,AV D ARMOR (44109_0388),RTE D ARMOR (44162_0087)
ATLANTIQ, ,RUE DE L ATLANTIQUE (44109_0426),AV DE L ATLANTIQUE (44162_0078)
AURIOL, ,PL VINCENT AURIOL (44109_8535),IMP VINCENT AURIOL (44162_2683) + RUE VINCENT AURIOL (44162_2685)
AVENEAUX, ,RUE DES AVENEAUX (44109_0484),PL DES AVENEAUX (44162_0089)
AVOCATIE, ,RUE DES AVOCATIERS (44109_0493),RUE DES AVOCATIERS (44162_0092)
BARBARA, ,RUE BARBARA (44109_0530),IMP BARBARA (44162_0111)
BARBUSSE, ,QUAI HENRI BARBUSSE (44109_4106),IMP HENRI BARBUSSE (44162_1263)
BART, ,ALL JEAN BART (44109_4412),PL JEAN BART (44162_1338)
BAUDELAI, ,RUE CHARLES BAUDELAIRE (44109_1684),AV CHARLES BAUDELAIRE (44162_0550)
BEAUREGA, ,RUE BEAUREGARD (44109_0652),BEAUREGARD (44162_B021)
BECQUERE, ,RUE HENRI BECQUEREL (44109_4105),AV HENRI BECQUEREL (44162_1264)
BELLEVUE, ,RUE BELLEVUE (44109_0732),LOT BELLEVUE (44162_A020) + BELLEVUE (44162_B026)
BERNARD, ,RUE CLAUDE BERNARD (44109_1932),AV CLAUDE BERNARD (44162_0697)
BLUM, ,RUE LEON BLUM (44109_4900),RUE LEON BLUM (44162_1508)
BOIS, ,PAS PETIT BOIS (44109_6415),PETIT BOIS (44162_B258)
BOTARDIE, ,RUIS DE LA BOTARDIERE (44109_X015),CHE DE LA BOTARDIERE (44162_0353)
BOUCHER, ,RUE HELENE BOUCHER (44109_4100),RUE HELENE BOUCHER (44162_0344)
BOUGAINV, ,RUE BOUGAINVILLE (44109_1104),ALL BOUGAINVILLE (44162_0346)
BOURDERI, ,RUE DES BOURDERIES (44109_1130),CHE DES BOURDERIES (44162_0369)
BRASSENS, ,AV GEORGES BRASSENS (44109_3656),ESP GEORGES BRASSENS (44162_0422)
BREIL, ,RUE DU BREIL (44109_1213),CHE DU BREIL (44162_0415)
BREL, ,AV JACQUES BREL (44109_4299),RUE JACQUES BREL (44162_0272)
CAHOUR, ,SQ MARION CAHOUR (44109_5393),RUE MARION CAHOUR (44162_1606)
CAMELIAS, ,RUE DES CAMELIAS (44109_1374),AV DES CAMELIAS (44162_0483)
CAMUS, ,PLA ALBERT CAMUS (44109_0069),RUE ALBERT CAMUS (44162_0036)
CARTIER, ,RUE JACQUES CARTIER (44109_4303),AV JACQUES CARTIER (44162_1331)
CENDRARS, ,RUE BLAISE CENDRARS (44109_0847),ALL BLAISE CENDRARS (44162_0287)
CENTRALE, ,RUE CENTRALE (44109_1536),RUE CENTRALE (44162_0515)
CHAPLIN, ,AV CHARLIE CHAPLIN (44109_1754),IMP CHARLIE CHAPLIN (44162_0558)
CHASSIN, ,IMP CHARLES CHASSIN (44109_1694),ALL CHARLES CHASSIN (44162_0548)
CHATEAU, ,RUE DU CHATEAU (44109_1784),ALL DU CHATEAU (44162_0581)
