mot_commun,ld,nom,homonymes
ACACIAS, ,RUE DES ACACIAS (44035_0005),AV DES ACACIAS (44109_0028)
ALIZES, ,RUE DES ALIZES (44035_0030),ALL DES ALIZES (44109_0151)
ALOUETTE, ,PL DES ALOUETTES (44035_0045),RUE DES ALOUETTES (44109_0184) + AV DES ALOUETTES (44109_0176)
AMPERE, ,RUE AMPERE (44035_0050),RUE AMPERE (44109_0244)
ARAGO, ,RUE ARAGO (44035_0068),IMP ARAGO (44109_0345) + RUE ARAGO (44109_0344)
AUBEPINE, ,ALL DES AUBEPINES (44035_0070),IMP DES AUBEPINES (44109_0427)
AUTOROUT, ,AUTOROUTE 11 (44035_4576),RTE AUTOROUTE 11 (44109_X025)
BEAUJOIR, ,PONT DE LA BEAUJOIRE (44035_X002),CHE DE LA BEAUJOIRE (44109_0644) + BD DE LA BEAUJOIRE (44109_0643)
BECQUERE, ,BD HENRI BECQUEREL (44035_3750),RUE HENRI BECQUEREL (44109_4105)
BERLIOZ, ,RUE HECTOR BERLIOZ (44035_3740),RUE HECTOR BERLIOZ (44109_4094)
BLANCHET, ,RUE DE LA BLANCHETIERE (44035_0659),RUE DE LA BLANCHETIERE (44109_0864)
BLEUETS, ,CHE DES BLEUETS (44035_0665),AV DES BLEUETS (44109_0892)
BOIS, ,ALL DU BOIS (44035_0730),RUE DU BOIS (44109_0929)
BOSQUETS, ,CHE DES BOSQUETS (44035_0895),RUE DES BOSQUETS (44109_1052)
BOUFFAY, ,CHE DU BOUFFAY (44035_0926),RUE DU BOUFFAY (44109_1093) + PL DU BOUFFAY (44109_1092)
BOUFFAY, ,AV DU BOUFFAY (44035_0925),RUE DU BOUFFAY (44109_1093) + PL DU BOUFFAY (44109_1092)
BOULEAUX, ,SQ DES BOULEAUX (44035_1005),AV DES BOULEAUX (44109_1117)
BRETAGNE, ,RUE DE BRETAGNE (44035_0052),PL DE BRETAGNE (44109_1216)
CAMELIAS, ,RUE DES CAMELIAS (44035_1325),RUE DES CAMELIAS (44109_1374)
CASSIN, ,PL RENE CASSIN (44035_4584),BD RENE CASSIN (44109_7226)
CHATAIGN, ,RUE DES CHATAIGNIERS (44035_1685),RUE DES CHATAIGNIERS (44109_1778)
CHATAIGN, ,CHE DE LA CHATAIGNERAIE (44035_1661),AV DE LA CHATAIGNERAIE (44109_1772)
CHENAIE, ,LOT LA CHENAIE (44035_A001),LA CHENAIE (44109_B042)
CHEVAL, ,RUE DU FER A CHEVAL (44035_2627),RUE DU FER A CHEVAL (44109_3100)
CHEVREFE, ,RUE DES CHEVREFEUILLES (44035_1859),AV DES CHEVREFEUILLES (44109_1886)
COQUELIC, ,ALL DES COQUELICOTS (44035_2210),AV DES COQUELICOTS (44109_2149)
COUTANCI, ,ALL DE LA COUTANCIERE (44035_2310),RUE DE LA COUTANCIERE (44109_2289)
CRESSONN, ,ALL DE LA CRESSONNIERE (44035_2347),AV DE LA CRESSONNIERE (44109_2299)
CROIX, ,RUE DE LA CROIX (44035_2359),RUE DE LA CROIX (44109_2316)
CUPRESSU, ,IMP DES CUPRESSUS (44035_2402),RUE DES CUPRESSUS (44109_2346)
DELACROI, ,RUE EUGENE DELACROIX (44035_2576),RUE EUGENE DELACROIX (44109_2956)
DESCARTE, ,RUE DESCARTES (44035_2440),RUE DESCARTES (44109_2420)
DUFY, ,RUE RAOUL DUFY (44035_4406),RUE RAOUL DUFY (44109_7136)
EGLANTIE, ,RUE DES EGLANTIERS (44035_2534),AV DES EGLANTIERS (44109_2740)
ERABLES, ,RUE DES ERABLES (44035_3331),PL DES ERABLES (44109_2861)
EUROPE, ,RUE DE L EUROPE (44035_2590),RUE DE L EUROPE (44109_2987) + BD DE L EUROPE (44109_2986)
EXUPERY, ,RUE ANTOINE DE ST EXUPERY (44035_0061),RUE ANTOINE DE ST EXUPERY (44109_0320)
FAUVETTE, ,ALL DES FAUVETTES (44035_2625),VEN DES FAUVETTES (44109_3039)
FER, ,RUE LANOUE BRAS DE FER (44035_3980),RUE LANOUE BRAS DE FER (44109_4796)
FILEE, ,ALL DE LA FILEE (44035_4570),RUE DE LA FILEE (44109_3135)
FLEMING, ,BD ALEXANDER FLEMING (44035_0012),BD ALEXANDER FLEMING (44109_0086)
FOGG, ,RUE PHILEAS FOGG (44035_4588),RUE PHILEAS FOGG (44109_6550)
FONTAINE, ,CHE DE LA FONTAINE (44035_2635),CHE DE LA FONTAINE (44109_3188)
