mot_commun,ld,nom,homonymes
CALVAIRE, ,RUE DU CALVAIRE (44121_0080),RUE DU CALVAIRE (44191_0045)
MAIRIE, ,RUE DE LA MAIRIE (44121_0120),PL DE LA MAIRIE (44191_0321)
STADE, ,RUE DU STADE (44121_0180),ALL DU STADE (44191_0455)
BUTTE,0,LA BUTTE (44121_B074),LA BUTTE (44191_B088)
CHATAIGN,0,LA CHATAIGNERAIE (44121_B151),LA CHATAIGNERAIE (44191_B181)
LANDES,0,LES LANDES (44121_B494),LES LANDES (44191_B502)
NOE,0,LA NOE (44121_B553),LA NOE (44191_B556)
RIVIERE,0,LA RIVIERE (44121_C137),LA RIVIERE (44191_C103)
ROCHETTE,0,LES ROCHETTES (44121_C145),LES ROCHETTES (44191_C107)
TERTRE,0,LE TERTRE (44121_C178),LE TERTRE (44191_C152)
