mot_commun,ld,nom,homonymes
ACACIAS, ,RUE DES ACACIAS (44133_0003),RUE DES ACACIAS (44164_0002)
EGLISE, ,PL DE L EGLISE (44133_0112),PL DE L EGLISE (44164_0110)
PELLERIN, ,RTE DU PELLERIN (44133_0240),RTE DU PELLERIN (44164_0134)
AIR,0,BEL AIR (44133_B043),BEL AIR (44164_B044)
BERNERIE,0,LA BERNERIE (44133_B049),LA BERNERIE (44164_B048)
BOURG,0,LE BOURG (44133_B077),LE BOURG (44164_B092)
BRUYERE,0,LA BRUYERE (44133_B101),LA BRUYERE (44164_B123)
EPINETTE,0,LES EPINETTES (44133_B238),LES EPINETTES (44164_B316)
GARE,0,LA GARE (44133_B287),LA GARE (44164_B366)
LANDE,0,LA LANDE (44133_B485),LA LANDE (44164_B566)
NEUVE,0,LA METAIRIE NEUVE (44133_B577),LA METAIRIE NEUVE (44164_B600)
