mot_commun,ld,nom,homonymes
CHENES, ,ALL DES CHENES (44001_0220),ALL DES CHENES (44075_0342)
EGLISE, ,PL DE L EGLISE (44001_0295),PL DE L EGLISE (44075_0470)
EGLISE, ,RUE DE L EGLISE (44001_0296),PL DE L EGLISE (44075_0470)
GARE, ,RUE DE LA GARE (44001_0390),RUE DE LA GARE (44075_0570)
JOSEPH, ,IMP SAINT JOSEPH (44001_0910),RUE SAINT JOSEPH (44075_1005) + SAINT JOSEPH (44075_C012)
POSTE, ,RUE DE LA POSTE (44001_0810),RUE DE LA POSTE (44075_0870)
BOURG,0,LE BOURG (44001_B098),LE BOURG (44075_B054)
CHINTRE,0,LA CHINTRE (44001_B275),LA CHINTRE (44075_B185)
CLOSE,0,LA CLOSE (44001_B303),LA CLOSE (44075_B219)
FORGES,0,LES FORGES (44001_B380),LES FORGES (44075_C172)
FOUGERES,0,LES FOUGERES (44001_C071),LES FOUGERES (44075_B312)
HOUX,0,LE HOUX (44001_B497),LE HOUX (44075_B432)
LANDE,0,GRAND LANDE (44001_B437),GRAND LANDE (44075_B359)
LANDE,0,LA PETITE LANDE (44001_B659),LA PETITE LANDE (44075_B587)
MAISONNE,0,LA MAISONNEUVE (44001_B583),LA MAISONNEUVE (44075_B493)
NONNERIE,0,LES NONNERIES (44001_B621),LES NONNERIES (44075_B543)
PARC,0,LE PARC (44001_B633),LE PARC (44075_B552)
TOUCHE,0,LA TOUCHE (44001_C019),LA TOUCHE (44075_C058)
VALLEE,0,LA VALLEE (44001_C028),LA VALLEE (44075_C099)
VILLENEU,0,VILLENEUVE (44001_C053),VILLENEUVE (44075_C139)
VIVIER,0,LE VIVIER (44001_C056),LE VIVIER (44075_C142)
