mot_commun,ld,nom,homonymes
ACACIAS, ,RUE DES ACACIAS (44024_0023),SQ DES ACACIAS (44101_0003)
AIR, ,RPT DE BEL AIR (44024_0026),RUE DE BEL AIR (44101_0055)
AIR, ,RUE DE BEL AIR (44024_0033),RUE DE BEL AIR (44101_0055)
EGLISE, ,PL DE L EGLISE (44024_0040),PL DE L EGLISE (44101_0680) + RUE DE L EGLISE (44101_0700)
MAIRIE, ,PL DE LA MAIRIE (44024_0107),RUE DE LA MAIRIE (44101_1280)
MAIRIE, ,RUE DE LA MAIRIE (44024_0108),RUE DE LA MAIRIE (44101_1280)
MORTIER, ,RUE DU MORTIER (44024_0110),ALL DU MORTIER (44101_1370)
PRES, ,RUE DES PRES (44024_0056),RUE DES PRES (44101_1587)
VERNE, ,IMP JULES VERNE (44024_0078),RUE JULES VERNE (44101_1200) + ALL JULES VERNE (44101_1201) + LOT JULES VERNE (44101_A058)
VERNE, ,RUE JULES VERNE (44024_0045),LOT JULES VERNE (44101_A058) + RUE JULES VERNE (44101_1200) + ALL JULES VERNE (44101_1201)
AIR,0,BEL AIR (44024_B011),IMP BEL AIR (44101_0054)
BELLEVUE,0,BELLEVUE (44024_B012),BD BELLEVUE (44101_0100)
TAILLIS,0,LE TAILLIS (44024_B291),LE TAILLIS (44101_B098)
