mot_commun,ld,nom,homonymes
BOUVREUI, ,RUE DES BOUVREUILS (44111_0016),IMP DES BOUVREUILS (44209_0048)
CHENES, ,RUE DES CHENES (44111_0013),RUE DES CHENES (44209_0090)
EGLISE, ,PL DE L EGLISE (44111_0018),PL DE L EGLISE (44209_0110)
ETOILE, ,LOT DE LA BELLE ETOILE (44111_A007),CHE DE LA BELLE ETOILE (44209_0040)
ETOILE, ,RUE DE LA BELLE ETOILE (44111_0007),CHE DE LA BELLE ETOILE (44209_0040)
GARE, ,RTE DE LA GARE (44111_0040),AV DE LA GARE (44209_0120)
LAURIERS, ,LOT DES LAURIERS (44111_A025),IMP DES LAURIERS (44209_0567)
MAIRIE, ,PL DE LA MAIRIE (44111_0050),RUE DE LA MAIRIE (44209_0170)
NANTES, ,RUE DE NANTES (44111_0060),RUE DE NANTES (44209_0184)
SAULES, ,RUE DES SAULES (44111_0080),RUE DES SAULES (44209_0372)
AIR,0,BEL AIR (44111_B054),BEL AIR (44209_B008)
GARE,0,LA GARE (44111_B489),LA GARE (44209_B081)
LANDE,0,LA LANDE (44111_B582),LA LANDE (44209_B215)
TERTRE,0,LE TERTRE (44111_B955),LE TERTRE (44209_B175)
TERTREAU,0,LES TERTREAUX (44111_B956),LES TERTREAUX (44209_B176)
