mot_commun,ld,nom,homonymes
ACACIAS, ,RUE DES ACACIAS (44070_0546),AV DES ACACIAS (44215_0010)
ASTREE, ,RUE DE L ASTREE (44070_0014),RUE DE L ASTREE (44215_0090)
BOCAGE, ,CHEM DU BOCAGE (44070_2041),IMP DU BOCAGE (44215_0255)
BOIS, ,ALL DU BOIS (44070_0018),IMP DU BOIS (44215_0257)
BOIS, ,CHE DU PETIT BOIS (44070_0024),RUE DU PETIT BOIS (44215_1402)
BOIS, ,RTE DU PETIT BOIS (44070_0341),RUE DU PETIT BOIS (44215_1402)
CALVAIRE, ,RUE DU CALVAIRE (44070_0021),RUE DU CALVAIRE (44215_0391) + PL DU CALVAIRE (44215_0392)
CLAIRIER, ,ALL DE LA CLAIRIERE (44070_0044),IMP DE LA CLAIRIERE (44215_0529)
CLISSON, ,RTE DE CLISSON (44070_0035),RTE DE CLISSON (44215_0540)
COURTILS, ,RUE DES COURTILS (44070_0043),ALL DES COURTILS (44215_0576)
CROIX, ,CHE DE LA CROIX (44070_0041),RUE DE LA CROIX (44215_0592)
ETANG, ,CHEM DE L ETANG (44070_0558),IMP DE L ETANG (44215_0664) + RUE DE L ETANG (44215_0665)
ETANG, ,RUE DE L ETANG (44070_0149),RUE DE L ETANG (44215_0665) + IMP DE L ETANG (44215_0664)
FONTAINE, ,RUE DE LA FONTAINE (44070_0563),RUE DE LA FONTAINE (44215_0679)
FOUGERES, ,IMP DES FOUGERES (44070_0158),ALL DES FOUGERES (44215_1950)
GARE, ,RUE DE LA GARE (44070_0160),RTE DE LA GARE (44215_0760) + IMP DE LA GARE (44215_0758) + AV DE LA GARE (44215_0759)
GARENNE, ,CHE DE LA GARENNE (44070_0161),ALL DE LA GARENNE (44215_0775) + RUE DE LA GARENNE (44215_0774)
GARENNE, ,RUE DE LA GARENNE (44070_0162),ALL DE LA GARENNE (44215_0775) + RUE DE LA GARENNE (44215_0774)
GOURTIER, ,RTE DE LA GOURTIERE (44070_0222),RTE DE LA GOURTIERE (44215_0841)
LANDES, ,CHE DES LANDES (44070_0250),RUE DES LANDES (44215_1070)
LILAS, ,IMP DES LILAS (44070_0254),IMP DES LILAS (44215_1114)
MARRONNI, ,IMP DES MARRONNIERS (44070_0263),AV DES MARRONNIERS (44215_1140)
MESANGES, ,ALL DES MESANGES (44070_0264),RUE DES MESANGES (44215_1148)
MINEE, ,RUE DE LA MINEE (44070_0577),RUE DE LA MINEE (44215_1156)
MOULIN, ,IMP DU MOULIN (44070_0578),RUE DU MOULIN (44215_1220)
MOULIN, ,RUE DU MOULIN (44070_0579),RUE DU MOULIN (44215_1220)
NYMPHEAS, ,PAS DES NYMPHEAS (44070_0299),ALL DES NYMPHEAS (44215_1296)
PUITS, ,RUE DU PUITS (44070_0408),RUE DU PUITS (44215_1527)
ROSEAUX, ,IMP DES ROSEAUX (44070_2500),RUE DES ROSEAUX (44215_1578)
SAULES, ,IMP DES SAULES (44070_0422),RUE DES SAULES (44215_1621)
SEVRE, ,RUE DE LA SEVRE (44070_0425),CHE DE LA SEVRE (44215_1638)
SPORTS, ,ALL DES SPORTS (44070_0428),BD DES SPORTS (44215_1660)
TILLEULS, ,PL DES TILLEULS (44070_0431),RUE DES TILLEULS (44215_1680)
TONNELIE, ,ALL DES TONNELIERS (44070_0433),IMP DES TONNELIERS (44215_1683)
VERLYNDE, ,BD BERNARD VERLYNDE (44070_0016),BD BERNARD VERLYNDE (44215_0207)
VERTOU, ,RTE DE VERTOU (44070_0440),RPT DE VERTOU (44215_1746)
VIGNOBLE, ,RUE DU VIGNOBLE (44070_0596),RTE DU VIGNOBLE (44215_1753) + RPT DU VIGNOBLE (44215_1754)
VIOLETTE, ,IMP DES VIOLETTES (44070_0544),RUE DES VIOLETTES (44215_1796)
BOIS,0,LE PETIT BOIS (44070_B151),LE PETIT BOIS (44215_B287)
BOURG,0,LE BOURG (44070_B017),LE BOURG (44215_B052)
GARE,0,LA GARE (44070_B078),LA GARE (44215_B146)
PATIS,0,LE PATIS (44070_B143),LE PATIS (44215_B272)
