mot_commun,ld,nom,homonymes
BOURG, ,CHE LE BOURG (44144_0140),LE BOURG (44207_B326)
BROUSSES, ,CHE LES BROUSSES (44144_0160),LES BROUSSES (44207_B380)
CLOS, ,CHE LE CLOS (44144_0380),LE CLOS (44207_B452)
CLOSE, ,CHE LA CLOSE (44144_0400),LA CLOSE (44207_C523)
EGLISE, ,PL DE L EGLISE (44144_0450),PL DE L EGLISE (44207_0040)
ERDRE, ,RUE DE L ERDRE (44144_0470),RUE DE L ERDRE (44207_0043)
VEAUX, ,CHE LES VEAUX (44144_1140),LES VEAUX (44207_C561)
VIGNES, ,IMP DES VIGNES (44144_1165),RUE DES VIGNES (44207_0066)
VIGNES, ,RUE DES VIGNES (44144_1170),RUE DES VIGNES (44207_0066)
BARRE,0,LA BARRE (44144_B022),LA BARRE (44207_C567)
BOURG,0,LE BOURG (44144_B100),LE BOURG (44207_B326)
CLOSE,0,LA CLOSE (44144_B300),LA CLOSE (44207_C523)
NEUVE,0,LA MAISON NEUVE (44144_B746),LA MAISON NEUVE (44207_B942)
ROUAUDIE,0,LA ROUAUDIERE (44144_C443),LA ROUAUDIERE (44207_C310)
