mot_commun,ld,nom,homonymes
EGLISE, ,PL DE L EGLISE (44077_0115),PL DE L EGLISE (44207_0040)
ERDRE, ,RUE DE L ERDRE (44077_0117),RUE DE L ERDRE (44207_0043)
VIGNES, ,RUE DES VIGNES (44077_0236),RUE DES VIGNES (44207_0066)
BOURG,0,LE BOURG (44077_B062),LE BOURG (44207_B326)
CLOSE,0,LA CLOSE (44077_B121),LA CLOSE (44207_C523)
MOULINS,0,LES MOULINS (44077_B361),LES MOULINS (44207_C055)
ROCHE,0,LA ROCHE (44077_B472),LA ROCHE (44207_C555)
VALLEE,0,LA VALLEE (44077_B522),LA VALLEE (44207_C406)
VARENNES,0,LES VARENNES (44077_B525),LES VARENNES (44207_C407)
