mot_commun,ld,nom,homonymes
CHENES, ,IMP DES CHENES (44014_0054),IMP DES CHENES (44130_0119)
COLVERTS, ,RUE DES COLVERTS (44014_0042),ALL DES COLVERTS (44130_0122)
COMMUNAU, ,RUE DE LA COMMUNAUTE (44014_0199),RUE DE LA COMMUNAUTE (44130_0126)
FAUVETTE, ,IMP DES FAUVETTES (44014_0055),RUE DES FAUVETTES (44130_0135)
GARE, ,RUE DE LA GARE (44014_0060),RUE DE LA GARE (44130_0153)
MAIRIE, ,RUE DE LA MAIRIE (44014_0090),RUE DE LA MAIRIE (44130_0193)
MARTIN, ,PL ST MARTIN (44014_0140),PL ST MARTIN (44130_0345)
PATIS, ,RUE DU PATIS (44014_0110),RUE DU PATIS (44130_0386)
PINSONS, ,IMP DES PINSONS (44014_0114),RUE DES PINSONS (44130_0256)
ROCHE, ,RUE DE LA ROCHE (44014_0130),RUE DE LA ROCHE (44130_0309)
STADE, ,RUE DU STADE (44014_0159),RUE DU STADE (44130_0352)
VIGNES, ,CHEM DES VIGNES (44014_0194),RUE DES VIGNES (44130_0368)
VIGNES, ,IMP DES VIGNES (44014_0195),RUE DES VIGNES (44130_0368)
VIVIER, ,RUE DU VIVIER (44014_0197),RUE DU VIVIER (44130_0376)
BAUCHES,0,LES BAUCHES (44014_B064),LES BAUCHES (44130_B041)
HAUTURE,0,LA HAUTURE (44014_B457),LA HAUTURE (44130_B303)
LANDAIS,0,LE LANDAIS (44014_B495),LE LANDAIS (44130_B321)
LANDES,0,LES GRANDES LANDES (44014_B414),LES GRANDES LANDES (44130_B281)
NEUVE,0,LA METAIRIE NEUVE (44014_B539),LA METAIRIE NEUVE (44130_B848)
PAPINIER,0,LA PAPINIERE (44014_B608),LA PAPINIERE (44130_B411)
SENSIVE,0,LA SENSIVE (44014_C096),LA SENSIVE (44130_B766)
