mot_commun,ld,nom,homonymes
BEAUREGA, ,RUE BEAUREGARD (44159_0003),BEAUREGARD (44215_B025)
BEAUSEJO, ,RUE BEAUSEJOUR (44159_0007),RUE BEAUSEJOUR (44215_0175)
CHAPELLE, ,CHE DE LA CHAPELLE (44159_0042),RUE DE LA CHAPELLE (44215_0422)
CIRQUE, ,PL DU CIRQUE (44159_0016),PL DU CIRQUE (44215_0521)
COTEAU, ,RUE DU COTEAU (44159_0009),CHE DU COTEAU (44215_0565)
OUCHES, ,RUE DES OUCHES (44159_0029),RUE DES OUCHES (44215_1316)
PERRIERE, ,RUE DES PERRIERES (44159_0010),RUE DES PERRIERES (44215_1401)
PORT, ,RUE DU PORT (44159_0028),RUE DU PORT (44215_1478)
RAMEE, ,RUE DE LA RAMEE (44159_0031),CHEM DE LA RAMEE (44215_1532) + RUE DE LA RAMEE (44215_1531)
ROCHER, ,RUE DU ROCHER (44159_0036),RUE DU ROCHER (44215_1569)
SEVRE, ,RUE DE LA SEVRE (44159_0037),CHE DE LA SEVRE (44215_1638)
SPORTS, ,RUE DES SPORTS (44159_0011),BD DES SPORTS (44215_1660)
TREBUCHE, ,RUE SOPHIE TREBUCHET (44159_0001),ALL SOPHIE TREBUCHET (44215_2060)
VALLEE, ,CHE DE LA VALLEE (44159_0060),IMP DE LA VALLEE (44215_1722)
BEAUSEJO,0,BEAUSEJOUR (44159_B005),RUE BEAUSEJOUR (44215_0175)
BOURG,0,LE BOURG (44159_B015),LE BOURG (44215_B052)
CANTERIE,0,LA CANTERIE (44159_B017),LA CANTERIE (44215_B395)
RAMEE,0,LA RAMEE (44159_B191),LA RAMEE (44215_B348)
