mot_commun,ld,nom,homonymes
BUIS, ,IMP DU BUIS (44130_0111),RUE DU BUIS (44198_0088)
CHENES, ,IMP DES CHENES (44130_0119),RUE DES CHENES (44198_0121)
CRA, ,RUE DE LA CRA (44130_0132),RUE DE LA CRA (44198_0169)
ECOLES, ,RUE DES ECOLES (44130_0133),RUE DES ECOLES (44198_0170)
EGLISE, ,PL DE L EGLISE (44130_0134),PL DE L EGLISE (44198_0175)
ENCLOSE, ,RUE DE L ENCLOSE (44130_0146),CHE DE L ENCLOSE (44198_0178)
FONTAINE, ,IMP DE LA FONTAINE (44130_0380),RUE DE LA FONTAINE (44198_0191)
LAURIERS, ,PAS DES LAURIERS (44130_0188),RUE DES LAURIERS (44198_0230)
NANTES, ,RTE DE NANTES (44130_0200),RUE DE NANTES (44198_0259)
NANTES, ,RUE DE NANTES (44130_0220),RUE DE NANTES (44198_0259)
OLYMPIQU, ,RUE DE LA FLAMME OLYMPIQUE (44130_0150),SQ DE LA FLAMME OLYMPIQUE (44198_0172)
SPORTS, ,RUE DES SPORTS (44130_0351),RUE DES SPORTS (44198_0390)
VIGNEAU, ,IMP DU VIGNEAU (44130_0366),ALL DU VIGNEAU (44198_0452)
AIR,0,BEL AIR (44130_B054),BEL AIR (44198_B044)
BAUCHE,0,LA GRANDE BAUCHE (44130_B244),LA GRANDE BAUCHE (44198_B205)
BLANCHES,0,LES LANDES BLANCHES (44130_B329),LES LANDES BLANCHES (44198_B274)
LANDES,0,LES LANDES (44130_B328),LES LANDES (44198_B273)
PRE,0,LE GRAND PRE (44130_B238),LE GRAND PRE (44198_B203)
