mot_commun,ld,nom,homonymes
CLISSON, ,RTE DE CLISSON (44064_0060),RTE DE CLISSON (44165_0040)
EGLISE, ,PL DE L EGLISE (44064_0080),PL DE L EGLISE (44165_0042)
JARDINIE, ,RUE DES JARDINIERS (44064_0092),CHEM DES JARDINIERS (44165_0062)
JONQUILL, ,RUE DES JONQUILLES (44064_0095),RUE DES JONQUILLES (44165_0064)
MARGERIE, ,RUE DE LA MARGERIE (44064_0105),RUE DE LA MARGERIE (44165_0050)
CORMIER,0,LE CORMIER (44064_B100),LE CORMIER (44165_B041)
NEUVE,0,LA MAISON NEUVE (44064_B270),LA MAISON NEUVE (44165_B128)
PATIS,0,LE PATIS (44064_B316),LE PATIS (44165_B173)
ROCHER,0,LE ROCHER (44064_B504),LE ROCHER (44165_B211)
