mot_commun,ld,nom,homonymes
EGLISE, ,PL DE L EGLISE (44037_0112),PL DE L EGLISE (44088_0091)
JONQUILL, ,IMP DES JONQUILLES (44037_0166),RUE DES JONQUILLES (44088_0106)
MAINE, ,AV DE LA MAINE (44037_0176),RUE DE LA MAINE (44088_0111)
AVENEAUX,0,LES AVENEAUX (44037_B004),LES AVENEAUX (44088_B005)
BOURG,0,LE BOURG (44037_B074),LE BOURG (44088_B027)
CHATELIE,0,LE CHATELIER (44037_B135),LE CHATELIER (44088_B277)
CLOS,0,LE PETIT CLOS (44037_B464),LE PETIT CLOS (44088_B207)
CROIX,0,LES CROIX (44037_B179),LES CROIX (44088_B097)
FONTAINE,0,BONNE FONTAINE (44037_B068),AV BONNE FONTAINE (44088_0030) + BONNE FONTAINE (44088_B024)
FONTENEL,0,LES FONTENELLES (44037_B207),LES FONTENELLES (44088_B119)
LANDES,0,LES LANDES (44037_B351),LES LANDES (44088_B168)
NOE,0,LA NOE (44037_B403),LA NOE (44088_B181)
SOLEIL,0,BEAU SOLEIL (44037_B038),BEAU SOLEIL (44088_B011) + RUE BEAU SOLEIL (44088_0027)
VERGER,0,LE VERGER (44037_B837),LE VERGER (44088_B269)
