mot_commun,ld,nom,homonymes
CALVAIRE, ,IMP DU CALVAIRE (44017_0027),RUE DU CALVAIRE (44144_0185)
FORET, ,RUE DE LA FORET (44017_0035),CHE DE LA FORET (44144_0560)
BOURG,0,LE BOURG (44017_B069),CHE LE BOURG (44144_0140) + LE BOURG (44144_B100)
CORMIER,0,LE CHAMP DU CORMIER (44017_B158),LE CHAMP DU CORMIER (44144_B182)
HOUSSAIE,0,LA HOUSSAIE (44017_B446),CHE LA HOUSSAIE (44144_0740) + LA HOUSSAIE (44144_B644)
LANDREAU,0,LE LANDREAU (44017_B484),LE LANDREAU (44144_B719)
MARAIS,0,LE MARAIS (44017_B494),LE MARAIS (44144_B751)
MORTIER,0,LE MORTIER (44017_B520),LE MORTIER (44144_B787)
NEUVE,0,LA MAISON NEUVE (44017_B490),LA MAISON NEUVE (44144_B746)
PATIS,0,LE PATIS (44017_B546),LE PATIS (44144_B833)
PRISE,0,LA PRISE (44017_B807),LA PRISE (44144_C394)
TANNERIE,0,LA TANNERIE (44017_B869),LA TANNERIE (44144_C490)
