mot_commun,ld,nom,homonymes
BLEUETS, ,RUE DES BLEUETS (44021_0065),RUE DES BLEUETS (44087_0190)
BOUIN, ,RTE DE BOUIN (44021_0090),RTE DE BOUIN (44087_0240)
EGLISE, ,PL DE L EGLISE (44021_0140),PL DE L EGLISE (44087_0720)
FOIRE, ,RUE DU CHAMP DE FOIRE (44021_0096),PL DU CHAMP DE FOIRE (44087_0580)
GARE, ,IMP DE LA GARE (44021_0201),PL DE LA GARE (44087_0860) + RUE DE LA GARE (44087_0840)
GARE, ,AV DE LA GARE (44021_0200),PL DE LA GARE (44087_0860) + RUE DE LA GARE (44087_0840)
GARE, ,PL DE LA GARE (44021_0202),PL DE LA GARE (44087_0860) + RUE DE LA GARE (44087_0840)
NANTES, ,RTE DE NANTES (44021_0327),RUE DE NANTES (44087_1166) + RTE DE NANTES (44087_1160)
PORNIC, ,RUE DE PORNIC (44021_0401),RTE DE PORNIC (44087_1340) + RUE DE PORNIC (44087_1320)
PORNIC, ,RTE DE PORNIC (44021_0400),RTE DE PORNIC (44087_1340) + RUE DE PORNIC (44087_1320)
RETZ, ,RUE DE RETZ (44021_0428),RUE DE RETZ (44087_1600)
TAILLEE, ,RUE DE LA TAILLEE (44021_0480),RUE DE LA TAILLEE (44087_1980)
AUBRAIS,0,L AUBRAIS (44021_B024),L AUBRAIS (44087_B024)
BELLEVUE,0,BELLEVUE (44021_B073),BELLEVUE (44087_B092)
BOSSES,0,LES BOSSES (44021_B136),LES BOSSES (44087_B152)
CHAUMES,0,LES CHAUMES (44021_B299),LES CHAUMES (44087_B409)
CLOITRE,0,LE CLOITRE (44021_B362),LE CLOITRE (44087_B450)
CROIX,0,LA CROIX (44021_B537),LA CROIX (44087_B505)
FOLIE,0,LA HAUTE FOLIE (44021_B868),LA HAUTE FOLIE (44087_D551)
GARE,0,LA GARE (44021_B654),LA GARE (44087_B716)
LONG,0,LE PRE LONG (44021_C917),LE PRE LONG (44087_D137)
MARAIS,0,LE GRAND MARAIS (44021_B730),LE GRAND MARAIS (44087_B804)
OUCHE,0,L OUCHE (44021_C269),L OUCHE (44087_C329)
PINIER,0,LE PINIER (44021_C660),LE PINIER (44087_C831)
PLESSIS,0,LE PLESSIS (44021_C677),LE PLESSIS (44087_C853)
PRES,0,LES GRANDS PRES (44021_B834),LES GRANDS PRES (44087_B889)
PRES,0,LES PRES (44021_C981),LES PRES (44087_D207)
ROCHE,0,LE PORT LA ROCHE (44021_C700),LE PORT LA ROCHE (44087_C866)
RUELLES,0,LES RUELLES (44021_D095),LES RUELLES (44087_D325)
VIGNAUD,0,LE VIGNAUD (44021_D238),LE VIGNAUD (44087_D504)
