mot_commun,ld,nom,homonymes
ACACIAS, ,AV DES ACACIAS (44002_0005),AV DES ACACIAS (44127_0001)
EGLANTIE, ,RUE DES EGLANTIERS (44002_0120),IMP DES EGLANTIERS (44127_0102)
GARE, ,CHEM DE LA GARE (44002_0126),RUE DE LA GARE (44127_0011)
INDUSTRI, ,RUE DE L INDUSTRIE (44002_0119),RUE DE L INDUSTRIE (44127_0250)
LAVOIR, ,RUE DU LAVOIR (44002_0137),RUE DU LAVOIR (44127_0026)
MARRONNI, ,AV DES MARRONNIERS (44002_0040),RUE DES MARRONNIERS (44127_0022)
NANTES, ,AV DE NANTES (44002_0070),RUE DE NANTES (44127_0025)
ROSIERS, ,RUE DES ROSIERS (44002_0083),RUE DES ROSIERS (44127_0050)
TISSERAN, ,RUE DES TISSERANDS (44002_0092),RUE DES TISSERANDS (44127_0080)
TONNELIE, ,RUE DES TONNELIERS (44002_0094),RUE DES TONNELIERS (44127_0085)
AIR,0,BEL AIR (44002_B067),BEL AIR (44127_B057)
BORDERIE,0,LA BORDERIE (44002_B082),LA BORDERIE (44127_B065)
BOURG,0,LE BOURG (44002_B087),LE BOURG (44127_B068)
GARE,0,LA GARE (44002_B230),LA GARE (44127_B296)
JOLY,0,LE BOIS JOLY (44002_B079),LE BOIS JOLY (44127_B062)
LANDES,0,LES LANDES (44002_B388),LES LANDES (44127_B477)
