mot_commun,ld,nom,homonymes
BRIOTAIS, ,RTE DES BRIOTAIS (44036_0301),RTE DES BRIOTAIS (44054_0065)
CHENES, ,RUE DES CHENES (44036_0391),ALL DES CHENES (44054_0150)
GARE, ,RUE DE LA GARE (44036_0660),RUE DE LA GARE (44054_0388)
ANDRE,0,SAINT ANDRE (44036_B122),SAINT ANDRE (44054_D767)
BIGNON,0,LE BIGNON (44036_B010),LE BIGNON (44054_B087)
BORGNE,0,LE CHENE AU BORGNE (44036_B039),LE CHENE AU BORGNE (44054_E057)
BRUERE,0,LA BRUERE (44036_B026),LA BRUERE (44054_B187)
CHEVALER,0,LA CHEVALERIE (44036_B041),LA CHEVALERIE (44054_B461)
FAYERE,0,LA FAYERE (44036_B055),LA FAYERE (44054_E029)
GARENNE,0,LA GARENNE (44036_B169),LA GARENNE (44054_B958)
LANDE,0,LA PETITE LANDE (44036_B101),LA PETITE LANDE (44054_C846)
LANDES,0,LES LANDES (44036_B080),LES LANDES (44054_C393)
MARAIS,0,LE MARAIS (44036_B090),LE MARAIS (44054_C457)
NEUF,0,LE MOULIN NEUF (44036_B094),LE MOULIN NEUF (44054_C550)
NEUVE,0,LA METAIRIE NEUVE (44036_B092),LA METAIRIE NEUVE (44054_C490)
RIVIERES,0,LES RIVIERES (44036_B117),LES RIVIERES (44054_D737)
ROCHER,0,LE ROCHER (44036_B118),LE ROCHER (44054_D742)
