mot_commun,ld,nom,homonymes
EGLISE, ,PL DE L EGLISE (44193_0232),PL DE L EGLISE (44197_0310)
BARRE,0,LA BARRE (44193_D020),LA BARRE (44197_B026)
BREIL,0,LE BREIL (44193_D100),LE BREIL (44197_B177)
BROSSE,0,LA BROSSE (44193_D120),LA BROSSE (44197_B193)
BUTTE,0,LA BUTTE (44193_B035),LA BUTTE (44197_B210)
CHESNAIE,0,LA CHESNAIE (44193_D180),LA CHESNAIE (44197_B400)
GREE,0,LA GREE (44193_D350),LA GREE (44197_C044)
JARRIER,0,LE JARRIER (44193_D410),LE JARRIER (44197_C170)
NOE,0,LA NOE (44193_D550),LA NOE (44197_C403)
PERRAY,0,LE PERRAY (44193_D580),LE PERRAY (44197_C572)
ROCHER,0,LE ROCHER (44193_D690),LE ROCHER (44197_D391)
TERTRE,0,LE TERTRE (44193_D780),LE TERTRE (44197_D461)
