mot_commun,ld,nom,homonymes
BERGERIE, ,CHE DE LA BERGERIE (44203_0013),LOT DE LA BERGERIE (44217_A037) + IMP DE LA BERGERIE (44217_0027)
BRETONNI, ,LOT DE LA BRETONNIERE (44203_A029),LOT DE LA BRETONNIERE (44217_A012)
CHATAIGN, ,RUE DES CHATAIGNIERS (44203_0022),ALL DES CHATAIGNIERS (44217_0075) + IMP DES CHATAIGNIERS (44217_0076)
LAVANDIE, ,ALL DES LAVANDIERES (44203_0179),CHE DES LAVANDIERES (44217_0171)
SILLON, ,RUE DU SILLON (44203_0352),RUE DU SILLON (44217_0357)
SORBIERS, ,IMP DES SORBIERS (44203_0357),IMP DES SORBIERS (44217_0367)
SPORTS, ,AV DES SPORTS (44203_0363),ALL DES SPORTS (44217_0320)
BOURG,0,LE BOURG (44203_B004),LE BOURG (44217_B186)
TEMPLE,0,LA POSTE DU TEMPLE (44203_B078),LA POSTE DU TEMPLE (44217_B996)
