mot_commun,ld,nom,homonymes
CURE, ,RUE DE LA VIEILLE CURE (44001_0950),CHE DE LA VIEILLE CURE (44095_0100)
EGLISE, ,PL DE L EGLISE (44001_0295),PL DE L EGLISE (44095_0051)
EGLISE, ,RUE DE L EGLISE (44001_0296),PL DE L EGLISE (44095_0051)
IRIS, ,ALL DES IRIS (44001_0450),IMP DES IRIS (44095_0073)
JOSEPH, ,IMP SAINT JOSEPH (44001_0910),SAINT JOSEPH (44095_C076)
AIR,0,BEL AIR (44001_B033),BEL AIR (44095_B107)
BOURG,0,LE BOURG (44001_B098),LE BOURG (44095_B131)
CHAMPS,0,LES CHAMPS (44001_B212),LES CHAMPS (44095_C197)
CORBIERE,0,LA CORBIERE (44001_B314),LA CORBIERE (44095_B299)
ETOILE,0,LA BELLE ETOILE (44001_B035),LA BELLE ETOILE (44095_B108)
FORGES,0,LES FORGES (44001_B380),LES FORGES (44095_C186)
TONNERIE,0,LA TONNERIE (44001_C016),LA TONNERIE (44095_C261)
VIVIER,0,LE VIVIER (44001_C056),LE VIVIER (44095_C183)
